id,title,description,kind,starts_at,ends_at,timezone,all_day,is_recurring,recurrence_rule,location,location_type,meeting_url,dial_in,address,deal_id,organization_id,owner_id,attendee_ids,internal_attendee_ids,external_attendees,gcal_id,gcal_url,outlook_id,synced_at,agenda,summary,action_items,transcript_url,recording_url,outcome,follow_up_needed,follow_up_at,follow_up_notes,tags,created_at,updated_at
271,Jordan Wirszc - Gabe Intro,,call,2025-10-12 00:00:00 UTC,,,false,false,,,,,,,54,,22,"[497, 575, 576]",[],[],,,,,,"Has 10T Interest, Ledger, Fund exposure to lots of different things, Dan Tapiero, Eric Vincent - VP - have a big co-investment block don't call unless you have 3bn valuation on Ledger, they won't sell for less

Anamoca, GEmini, Circle, Derabit which sold to Coinbase, so coinbase shares, Fund exposure to lots of different things

Will buy small amounts of Ledger at ~$1b valuation
Follow up with blocks if they are around this valuation",,,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
272,Optimist x Arrow,,call,2025-05-12 00:00:00 UTC,,,false,false,,,,,,,,,,[],[],[],,,,,,,,https://app.fireflies.ai/view/Optimist-x-Arrow::01KBKHE6QT5RKQRTGYF655N2N3,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
273,Gabe + Ricardo,,video,2026-05-01 00:00:00 UTC,,,false,false,,,,,,,,,22,"[565, 576, 577]",[],[],,,,,,"Acquisition of Levesque: Controlling interest secured in Levesque for $35 million, targeting 35 million cases annually, currently 15-20% utilized.
Revenue Goals: Current revenue at $220 million, aiming for $300 million by year-end, with potential growth to $400-500 million soon.
Manufacturing Focus: Levesque has six bottling lines and a $10-15 million canning line, specializing in private label and co-packing for large clients.
Market Opportunities: Significant growth expected in canned cocktails and private label alcohol, especially in the cruise ship sector, and flexible manufacturing for new brands.
Operational Investments: Recent investments in automation set up scalability; acquisitions are integrated to boost valuation and efficiency.
Future Plans: Expanding into bakery and additional beverage businesses while cultivating relationships with over 700 manufacturers for strong market presence.

Notes
Company Acquisition and Growth Strategy
The team has secured controlling interest in Levesque, a well-equipped California beverage bottling company, with plans to expand through further acquisitions and operational improvements (02:38).

Gabriel Borden highlighted the strategy to first optimize Levesque’s existing operations and then raise funds to acquire additional beverage companies, aiming to build a vertically integrated portfolio.
The facility currently operates at about 15-20% utilization after a recent $35 million capacity expansion from 10 million to 35 million cases annually, presenting significant growth potential (19:38).
Chris Clifford emphasized the company’s current revenue of approximately $220 million with a goal to reach $300 million by year-end, and a pipeline capable of pushing revenue to between $400 and $500 million in the next few years (21:15).
The acquisition was a formal restructuring of a bankrupt entity, with the original owners retaining a 49% stake to maintain key customer relationships, while the new owners hold 51% control (18:44).
Manufacturing Capacity and Product Lines
Levesque operates multiple manufacturing lines with a strong focus on private label and co-packing, especially for large clients like Costco and Trader Joe’s, with expertise in challenging products such as eggnog (13:48).

The facility includes six bottling lines and two high-speed canning lines, including a $10-15 million Lionel canning line, described as top-tier equipment supporting a wide range of beverages, including cocktails and ready-to-drink (RTD) products (19:38).
They maintain an in-house formulation lab allowing custom product development and control over supply chains, supporting both private label with ready recipes and bespoke formulations (15:03).
The team is actively expanding into non-alcoholic beverages and has promising collaborations lined up with Pepsi and other suppliers to maximize canning line throughput (17:17).
Food safety and quality are prioritized, with strict CCP points in place, particularly for sensitive products like eggnog, reflecting the facility’s high standards (14:16).
Market Positioning and Industry Insights
The company’s strong foothold in private label for major brands like Kirkland vodka and hotel chains such as Marriott and Hilton positions it well within growing segments of the beverage market (13:48, 16:00).

Ricardo Cordero pointed out the explosive growth in canned cocktails and private label alcohol, noting the cruise ship market as a significant channel, reinforcing the strategic value of their product lines (16:08).
The team sees substantial opportunity in flexible manufacturing with low minimums to help new brands gain traction, a strategy proven successful with brands like MIA Naturals, which grew volume significantly within 11 months (10:44).
Industry valuations vary widely, with multiples ranging from 2x to 10x revenue depending on infrastructure and growth potential, and some smaller brands achieving extraordinary valuations due to disruptive potential (22:13).
The beverage market’s shift away from traditional liquor sales toward innovative formats like RTDs and plant-based products aligns with their acquisition and growth philosophy (08:07, 21:52).
Operational and Process Improvements
The facility benefits from recent capital investments resulting in new automation and expanded capacity, setting a foundation for scalable growth without legacy inefficiencies common in family-owned operations (19:38).

The approach includes integrating smaller acquisitions under one roof to increase valuation and operational efficiency, as demonstrated by similar consolidations increasing value to $160 million (05:23).
The team emphasized the importance of food safety certifications (GFSI, BRC, SQF) and third-party audits to meet the demands of major retailers and maintain quality standards (06:53).
They plan to update their manufacturing capabilities database with specific line specs, throughput, and hot fill/pasteurization capabilities to better match potential client needs and accelerate business development (26:22).
There is a focus on acquiring an East Coast facility with canning and pasteurization (tunnel pasteurization) capabilities to improve margins and expand geographic reach, with active scouting underway (27:51).
Strategic Partnerships and Future Acquisitions
The team is cultivating strong relationships with venture capital-backed brands and accelerators, handling contract manufacturing needs to allow brands to focus on sales and marketing (11:31).

They maintain a network of over 700 manufacturers and a waiting list of approximately 3,100 companies seeking manufacturing partnerships, indicating significant deal flow and market intelligence (05:23).
The company is preparing to acquire additional beverage and bakery businesses, with bakery identified as a key volume category, recently relocating a 3,600 pallet per month bakery operation from Canada to the U.S. (29:53).
Chris Clifford and Gabriel Borden coordinate closely with Ricardo to share detailed facility specs and acquisition targets, aiming to leverage Ricardo’s expertise and network to identify off-market deals and accelerate growth (29:19).
The plan includes continuing to invest in private label and co-packing, expanding product categories, and geographic presence, with the goal of building a broad, flexible supply chain platform over the next several years (27:55).

Action items
Ricardo Cordero
Review and update system with full capabilities and specs of Levesque’s facilities once received (26:11)
Add Gabriel Borden and Chris Clifford as primary contacts in system for future business opportunities (26:22)
Chris Clifford
Send detailed spec sheet (deck) of Levesque bottling and canning lines including product capabilities and throughput (25:55)
Provide information on wanted east coast manufacturing facility acquisition—type of facility, specific needs such as pasteurization capabilities (28:20)
Confirm hot fill and pasteurization capabilities of Lionel canning line at Levesque facility (26:48)
Share email draft including both Gabriel and Ricardo for ongoing communication (29:17)
Gabriel Borden
Coordinate sending the facility information and facilitate connections for further discussions (26:21)",,https://app.fireflies.ai/view/Gabe-Ricardo::01KE2YEEE3MQBTEMD2BG3Y43G3,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
274,Humla <> Arrow <> Arcadian,,video,2026-05-01 00:00:00 UTC,,,false,false,,,,,,,51,,22,"[492, 566, 567, 568, 549]",[],[],,,,,,"Secondary Share Blocks: Team advancing two SpaceX blocks, totaling $37 million; fast closing interest noted.
Primary Block Details: $24.5 million at $1.2 billion valuation; 7.5% seller fee, closing deadline set for January 13.
Due Diligence Process: Focus on entity-level checks; avoiding company-level approvals to expedite closings and maintain investor confidence.
Market Alignment: Blocks aim for completion by third week of January; current market demands at least 10% fees versus negotiated 7.5%.
Growth Opportunities: Strong seller relationships noted, with potential for additional investments post current deals; expanding partnerships being pursued.
Communication Channels: Deal specifics checklist established; clear coordination between teams to ensure swift investor commitment and updates.

Notes
Secondary Share Blocks and Investor Engagement
The team is advancing on two SpaceX secondary share blocks totaling about $37 million with strong investor interest ready to close quickly (06:00).

Primary block of approximately $24.5 million managed by Ali Shekhofti’s entity, Accrete Capital, is structured as an LP interest transfer with a valuation around $1.2 billion for SpaceX shares (06:00).
The seller fee is priced at 7.5% with an additional 1.5% introducer fee split flexibly among parties, allowing negotiation on carry versus fees to maximize returns.
The transaction aims for legal documents within 24 hours and funding by the end of the week, with a hard close deadline on the 13th of January to align with the broader market tender timeline.
Krishnan emphasized the need for company approval for the selling entity and buyer to ensure regulatory compliance and smooth transfer.
Greg confirmed the transfer is approved at the LP interest level, but shares themselves are not being transferred, mitigating company-level hurdles.
Secondary block of $12.5 million sourced by Bert Mole at Prevalent is expected at a much cheaper price with minimal fees, reflecting a high-value proprietary trading relationship (14:07).
Bert has a strong network including close ties to SpaceX’s senior executives, boosting deal sourcing and pricing advantage.
This block is a direct buy rather than an LP interest transfer, adding diversity to acquisition strategy and pricing flexibility.
Greg and Bert are aligning on a partnership model to structure carry and fees efficiently for both blocks.
Matthew highlighted that despite the secondary nature of these deals, the high fees in the tender market (above 10%) make these blocks attractive at 7.5% or below, offering competitive advantage.
The team has $100+ million in ready capital aligned to close alongside the company tender, underscoring strong market demand and urgency for clear, confirmed deal details (13:50).
Due Diligence and Compliance Framework
Clear diligence and compliance steps are established to ensure investor confidence and regulatory adherence for the secondary transactions (15:10).

Due diligence focuses on entity-level and transaction-specific checks, avoiding company-level approvals where possible to speed up closings (15:18).
The SPV operating agreement for Humla Aero vehicle is being prepared for investor review and side letter negotiation.
KYC processes with Accrete Capital are underway to meet investor and regulatory requirements.
Greg will facilitate detailed Q&A with the seller via video calls to address investor concerns, with Gabe and Chris leading diligence interactions.
Krishnan emphasized the critical need to verify that the selling entity has official approval to transfer shares or LP interests, to prevent post-sale issues.
Matthew stressed the importance of providing investors with fully vetted and clear information to avoid ambiguity and build trust when mobilizing sidelined capital.
Timeline Alignment and Market Context
The deal timelines are tightly synced with SpaceX’s employee tender and wider market events to optimize capital deployment and pricing (10:50).

The blocks aim for documentation and funding completion by the third week of January, matching the tender’s closing window.
Greg noted one block was closed and funded at roughly $400 million valuation six weeks ago, predating current tender announcements, highlighting market shifts.
The team is managing the risk of late-stage pricing changes by pushing for early capital commitment and clear deal terms.
Market pricing insights show tenders currently demand at least 10% fees or carry, making the negotiated 7.5% seller fee and below highly attractive.
The partnership approach with sellers and introducers aims to secure favorable fee splits and maintain competitive positioning.
Strategic Partnerships and Growth Potential
Beyond current blocks, the seller relationships and trading partners provide avenues for future deal flow and expanded investment (17:30).

Greg praised the strong alignment with the seller and introducers, noting potential for additional LP interests once the current deals close.
Accrete Capital holds about $1.2 billion in SpaceX valuation across its funds, indicating significant room to scale investments if initial transactions prove successful.
The team’s partnership with Prevalent, a well-regarded prop trading firm, strengthens sourcing capabilities for discounted blocks.
Greg is actively expanding network connections, including meetings with JP Morgan and other investors, to support broader deal origination.
This ecosystem approach supports a multi-block, multi-vendor strategy designed to capture secondary market opportunities efficiently.
Communication and Coordination Protocols
Clear communication channels and defined information needs underpin the current deal execution to avoid delays and confusion (16:00).

Greg outlined a checklist for deal specifics covering entity due diligence, permissions, source fees, and share certificates to standardize investor information.
Matthew advised framing details from an investor perspective, anticipating questions on vehicle structure, share issuance timing, and compliance.
The team commits to transparent, prompt updates to maintain momentum and ensure all parties can confidently commit capital.
Follow-up calls will be scheduled once full deal specifics are confirmed, enabling swift closing on investor commitments.
Greg and Gabe lead coordination between Arrow, Acadian, and Humla Aero teams to align operational efforts and investor outreach.

Action items
Greg Carson
Follow up with Ali Shekhofti to confirm company approval and provide transfer approval documentation for the $24.5M block (22:00)
Share SPV operating agreement and any side letter drafts for review and redline by partners (15:20)
Arrange video call between seller and interested parties (Gabe, Christian) to facilitate due diligence (14:50)
Provide a checklist of all specifics needed for due diligence including entity details, fees, certificates, and permissions (16:15)
Continue working with Bert Mole on sourcing and pricing details of the $12.5M secondary block (18:25)
Matthew
Coordinate with Greg and Gabe to receive and review all finalized transaction details before approaching investor capital (16:00)
Prepare to mobilize investor funds quickly once full deal details and approvals are confirmed (14:00)
Follow up with Christian and Gabe to schedule next call once final specifics are confirmed (15:40)
Krishnan Varier
Ensure KYC process completion with Accrete and all investors in the SPV (15:30)
Confirm and verify company approval status for secondary LP interest transfer (22:15)
Review due diligence documents provided and flag any concerns for negotiation (16:30)
Gabriel Borden
Check availability and facilitate communication with Ali Shekhofti for direct participation or documentation sharing (04:00)
Collaborate with Greg to get SPV operating agreement to Arcadian team for review (15:15)
Hugues Dongmo
Provide additional entity details and GP information to the group as necessary (10:35)",,https://app.fireflies.ai/view/Humla-Arrow-Arcadian::01KE7X5TKX5FVSM3YT69C83477,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
275,Dan Dawes + Gabe,,video,2026-05-01 00:00:00 UTC,,,false,false,,,,,,,,,22,"[569, 576]",[],[],,,,,,"Arrow Fund Acquires Leveque: Acquired a $220 million revenue beverage bottling company, enhancing presence in beverage manufacturing.
Expansion into Food Products: Focusing on new packaged alcohol products, leveraging synergies between beverage and food sectors.
Networking for Market Entry: Outreach to industry partners aims to gather intelligence and potential collaborations in food and beverage.
Indiana as Growth Hub: Indiana offers strong business environment for bottling operations, with strategic partners like 9th Avenue Foods.
Leveraging Distribution Network: Existing channels with Costco and Walmart enhance market entry for new food and beverage products.
Leadership Focus on Collaboration: Both leaders emphasize learning and partnerships to navigate evolving food and beverage sectors.

Notes
Investment Strategy and Portfolio Focus
The core investment approach centers on opportunistic moves in food, beverage, and tech sectors with a strong foothold in beverage manufacturing (00:00).

Arrow Fund acquired controlling interest in Leveque, a $220 million revenue beverage bottling and alcohol production company in California (00:00)

Leveque bottles for Costco, including Costco vodka, anchoring Arrow Fund’s presence in beverage manufacturing
Gabriel Borden emphasized the strategic value of large-scale beverage manufacturing with a distribution reach into major retailers like Costco and Walmart
The acquisition complements Arrow Fund’s dual strategy combining private equity and growth-stage venture capital investments
This positioning creates a platform for expanding into food-related products and leveraging existing distribution networks
The beverage focus is deliberate to tap into established supply chains and retail channels, with an eye on scaling further in adjacent food product categories
Expansion into food deals is underway, including a packaged alcohol cake company aligned with the beverage portfolio (06:25)

This product innovation leverages alcohol licensing and unique packaging to differentiate in the market
Gabriel is actively exploring synergies between beverage manufacturing and novel food products to boost portfolio diversity
The approach targets products compatible with Leveque’s manufacturing and distribution capabilities
This strategy reflects a shift to broaden portfolio exposure while maintaining operational efficiencies
Food and Beverage Industry Network and Market Positioning
Building industry relationships and local partnerships is key to entering new food and beverage markets and expanding operational footprint (07:25).

Gabriel initiated outreach to connect with investors and operators experienced in food and beverage verticals (07:25)

The goal is to gain market intelligence and identify collaboration or investment opportunities aligned with Arrow Fund’s evolving focus
This networking supports informed decision-making in unfamiliar industry segments and fosters potential deal flow
The strategy reflects a cautious but active approach to scaling presence beyond core beverage investments
Gabriel’s team is tasked with ongoing outreach to build these strategic relationships
Dan Dawes highlighted Indiana as a favorable business environment with strong food and ag bioscience sectors (08:58)

Indiana ranks highly as a business-friendly state, offering operational and logistical advantages
This market positioning aligns with Arrow Fund’s interest in expanding bottling and manufacturing operations into new geographies
The state’s ecosystem includes companies like 9th Avenue Foods, a key packaging and processing player that could become a strategic bottling partner
Indiana’s ag and food innovation ecosystem offers potential collaboration and investment synergies for Arrow Fund
Manufacturing and Bottling Opportunities
Leveraging existing manufacturing capacity and exploring new bottling contracts are central to growth plans (08:21).

Leveque’s large bottling capacity positions Arrow Fund to pursue contracts like the potential deal with 9th Avenue Foods for maize-based milk products (08:21)

Dan shared that Maizeli, a South African company producing milk alternatives from maize, is seeking North American bottling partners
Arrow Fund’s capacity could fulfill this need, creating new revenue streams and expanding product variety
Gabriel expressed openness to explore this bottling contract, recognizing the strategic fit with existing operations
Building such partnerships would enhance Arrow Fund’s manufacturing footprint and diversify customer base
Plans include integrating Indiana operations with Arrow Fund’s growth as Leveque scales (10:14)

Dan offered to facilitate introductions to Indiana-based operations to support Arrow Fund’s expansion
This reflects a commitment to collaborative growth through leveraging local manufacturing and processing expertise
The strategy will help balance geographic diversification with operational efficiency
Such integration supports Arrow Fund’s multi-state manufacturing and distribution ambitions
Product Distribution and Retail Strategy
Maximizing distribution channels into major retailers is a critical pillar supporting portfolio growth (10:37).

Arrow Fund leverages a large distribution business serving Costco, Walmart, and Trader Joe’s to place beverage and packaged food products (10:37)

This distribution network provides a strong platform for scaling new food and beverage brands acquired or developed
Gabriel emphasized preference for products that fit existing distribution capabilities to accelerate market entry
The distribution strategy reduces time-to-market and increases product visibility with key retail partners
This approach also supports cross-selling and bundling opportunities across portfolio brands
Historical success stories like Fair Life Milk demonstrate the potential scale and impact of Indiana-based food brands (11:01)

Dan cited Fair Life’s sale to Coca Cola as a benchmark for successful food innovation scaling from Indiana
This validates Arrow Fund’s interest in the region for future product launches and partnerships
The example underscores the value of local innovation ecosystems in driving national brand growth
Gabriel’s enthusiasm about such brands reflects strategic alignment with growth through differentiated products
Leadership Perspectives and Strategic Outlook
Both leaders emphasize learning, collaboration, and long-term partnership development to drive success in evolving sectors (00:00).

Gabriel Borden’s investment philosophy balances opportunistic private equity deals with growth-stage venture investments in tech and F&B sectors (00:00)

His openness to learning the nuances of food and beverage industries informs a measured but proactive investment approach
Gabriel’s focus on acquiring operational control (e.g., Leveque) provides leverage to influence business direction and expansion
He prioritizes building networks and partnerships to mitigate knowledge gaps and accelerate growth
This philosophy reflects a blend of hands-on management with strategic venture exposure
Dan Dawes brings deep ag and food industry experience and values ecosystem building and innovation support (02:56)

His work with accelerators and non-profits underscores a commitment to growing the food and ag bioscience economy in Indiana
Dan’s insights into emerging companies and technologies provide valuable market intelligence for Arrow Fund’s entry strategy
He advocates for leveraging regional strengths and fostering cross-sector collaboration to unlock new opportunities
Both leaders see potential for future joint ventures or deals as Arrow Fund deepens its industry footprint

Action items
Gabriel Borden
Explore and evaluate potential bottling contract opportunities with 9th Avenue Foods and other Indiana-based facilities for Maizeli and similar ventures (09:52)
Maintain ongoing communication with Dan Dawes to discuss future food and beverage investment and operational partnerships, especially in bottling and manufacturing (11:59)
Dan Dawes
Facilitate introductions between Gabriel Borden and Indiana food and beverage operations and investors, including help with local market integration for Arrow Fund’s portfolio companies (10:14)
Share insights and potential connections within the Indiana ag bioscience community, including Big Idea Ventures and Generation Food Rural Partners for innovative food startups (06:25)",,https://app.fireflies.ai/view/Dan-Dawes-and-Gabriel-Borden::01KE2YEEE3N3CPCYBN8S484W92,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
276,Nikhil + Gabe,,video,2026-05-01 00:00:00 UTC,,,false,false,,,,,,,,,22,"[570, 576]",[],[],,,,,,"Investment Focus: Emphasis on opportunistic secondary investments and strategic partnerships to enhance deal flow.

Major Acquisition: Gabriel’s firm acquired a company generating $220 million, showcasing capability in significant private equity deals.

Moulton Structure: Moulton operates as a £1.5 billion listed fund, allowing patience in capital deployment unlike traditional LP-driven funds.

Tech Priorities: Both firms align on AI infrastructure and cloud optimization, focusing on high-potential investment opportunities.

Communication Workflow: Gabriel will email AI deal details for Nikhil’s prompt evaluation, enhancing collaboration and deal quality.

Long-Term Vision: Emphasis on patient capital deployment and selective secondary market engagement to enable strategic decisions and partnerships.


Notes
Investment Strategy and Deal Flow
The meeting established a clear focus on opportunistic secondary investments and strategic partnerships to expand deal flow and co-investment opportunities.

Gabriel Borden’s firm recently acquired majority control of a company generating $220 million in revenue, highlighting their capability for significant private equity deals and interest in secondary markets (04:38)

The firm is actively involved in early-stage seeds, growth stage secondaries, and has partial exposure to the crypto ecosystem through deals like Poly Market and Fowler Atomics.
Gabriel emphasized their preference for discounted secondary deals, leveraging relationships like the one with Brock Pierce, co-founder of Tether, to access unique opportunities.
The company is exploring a fund buyout involving Tether stock at a 30-40% discount to the primary offering, aiming to involve co-investors in this deal.
This approach positions them to capitalize on illiquid market segments and generate outsized returns by acquiring assets below market value.
Nikhil Punwaney confirmed Moulton’s structure as a £1.5 billion listed fund investing off its balance sheet, allowing patience with capital deployment unlike traditional LP-driven funds (11:34)

Moulton focuses heavily on secondary markets and fund-of-funds strategies, having invested in 84 funds across 51 managers since 2017, including Seedcamp, Speed Invest, and Connect Ventures.
This patient capital model reduces pressure to produce liquidity quickly, supporting longer-term value creation and enabling selective secondary acquisitions.
Moulton’s leadership maintains strong relationships with Ledger and similar platforms but is a buyer-only, not seller, in the Ledger secondary market.
The fund’s extensive LP network and secondary market focus provide a competitive edge in deal sourcing and execution.
Technology and Sector Focus
Both parties aligned on their technology investment priorities, particularly in AI infrastructure and cloud optimization, to leverage sector expertise and identify high-potential opportunities.

Gabriel proposed introducing two AI infrastructure companies, AF Compute and Aspen Labs, as potential investment opportunities aligned with Nikhil’s expertise in AI (18:45)

These companies represent core areas of interest where Gabriel’s team is actively deploying capital and sees strategic value in partnering with specialists.
Gabriel’s approach includes connecting deals to relevant experts on Nikhil’s team, facilitating efficient evaluation and potential co-investment.
The intention is to create a streamlined pipeline for AI-related deals that match Moulton’s investment thesis and speed up decision-making.
Nikhil described his primary focus on cloud infrastructure optimization, including data center energy efficiency and workload rerouting across providers, reflecting a deep understanding of physical layer technology (15:40)

He highlighted the long-term importance of improving cloud performance through renewable energy adoption and better software efficiency.
His second key area is quantum computing, specifically investing in companies bridging current research to practical applications expected around 2035.
Cybersecurity and developer tools remain strategic themes but are currently secondary to infrastructure and quantum investments.
Nikhil emphasized Moulton’s patient capital stance, allowing them to avoid the liquidity-driven pressures common in VC and secondary markets.
Partnership and Communication Workflow
The conversation established clear communication channels and collaboration practices to facilitate deal flow and information sharing.

Gabriel will send AI deal details via email for Nikhil’s prompt evaluation, with a commitment to quick feedback within a week on interest level (19:47)

Nikhil offered to triage deals and route them internally to the most relevant team members based on sector fit, accelerating responses and improving deal quality.
They agreed email is the preferred method to maintain clear context and allow easy introduction of relevant parties, especially for crypto-related opportunities.
Nikhil confirmed the names and roles of key investment team members (Shwetab, Tarun, Luke) to clarify internal points of contact.
Gabriel will reciprocate by connecting Nikhil to his AI investment team, fostering a collaborative co-investment environment.
The teams recognize overlapping investment areas and complementary expertise, setting the foundation for ongoing deal sharing and co-investment discussions (21:55)

Gabriel’s team uses LinkedIn outreach and agent-based sourcing to build a broad network of fund relationships.
Moulton’s established presence and patient capital provide a reliable partnership for secondary market deals.
Both sides expressed intent to deepen relationship with more frequent communications and introductions to maximize deal potential.
This alignment creates a strategic bridge between opportunistic private equity and structured fund-of-funds approaches.
Branding and Market Presence
Insights surfaced regarding digital presence and reputation management as part of broader strategic positioning.

Nikhil flagged a broken LinkedIn link and SEO issues on Gabriel’s Arrow Fund website, noting the presence of a fake LinkedIn profile that could confuse stakeholders (06:29)
Gabriel acknowledged the issues and committed to addressing them to improve discoverability and professional credibility.
The fake profile raises risks around brand misrepresentation and stakeholder trust, which need urgent mitigation.
Improving SEO and correcting online assets will support relationship building and deal sourcing by enhancing Arrow Fund’s market profile.
This feedback underscores the importance of digital hygiene for emerging investment firms competing for mindshare.
Long-Term Vision and Market Position
The meeting revealed shared philosophies around patient capital deployment and selective secondary market engagement, shaping a long-term partnership outlook.

Both leaders emphasized the value of patience in capital deployment to avoid pressure from fund cycles and liquidity demands, enabling more strategic decisions (11:34)
Gabriel’s opportunistic approach to secondaries at discounts complements Moulton’s balance sheet model, creating synergy for joint deals.
This philosophy supports pursuing high-value, discounted secondary stakes without needing quick exits, improving risk-adjusted returns.
Nikhil’s focus on sector-specific deep dives into infrastructure and quantum aligns with Gabriel’s interest in AI and crypto, reinforcing thematic consistency.
The long-term vision includes building a network of co-investors that can flexibly participate across private equity, crypto, and technology growth sectors.

Action items
Gabriel Borden
Fix Arrow Fund LinkedIn link and address SEO/fake profile issues identified by Nikhil (06:45)
Send detailed information on two AI infrastructure investment opportunities (AF Compute and Aspen Labs) to Nikhil for evaluation (18:45)
Email Nikhil introducing crypto deal team and contextualizing the Tether fund buyout opportunity for follow-up (22:55)
Nikhil Punwaney
Loop in Shwetab via email for collaboration with Gabriel on blockchain/crypto opportunities (22:50)
Provide quick initial assessment on any deals Gabriel sends that fit Nikhil’s focus areas, with response turnaround within about a week (19:40)",,https://app.fireflies.ai/view/Nikhil-Punwaney-and-Gabriel-Borden::01KDGXNCF17HQDHJSA6Z2HF7GZ,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
277,Trevor Bezdek + James Peck @ Mubadalah,,video,2026-08-01 00:00:00 UTC,,,false,false,,,,,,,64,,22,"[548, 578, 576]",[],[],,,,,,Waymo 1 and 15% primary,,,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
278,Polymarket (HOLD),,call,2025-11-11 09:00:00 UTC,2025-11-11 09:30:00 UTC,,false,false,,,,,,,,,22,"[577, 495, 576, 498]",[],[],_68qjcg9o8oo3cb9j6cq4ab9k692j8b9p6oq34ba561242d1n6csj8g9g64,,,,,,,,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
279,Josh <> Gabriel Catchup,,call,2025-01-12 11:00:00 UTC,2025-01-12 12:00:00 UTC,,false,false,,,,,,,,,22,"[590, 576]",[],[],cgq64pb6cgqjib9l6go3ib9k61gjibb265i36b9p6kpm8chh6dh34o9p6g,,,,,,,,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
280,"SpaceX Joon, Dwayne, Gabe and Jason",,call,2025-01-12 12:30:00 UTC,2025-01-12 13:00:00 UTC,,false,false,,,,,,,,,22,"[602, 576, 504]",[],[],6lijcc9l6kr3ibb465h62b9kcgsm8b9p6pij6bb56tim2c9ic8sjadpicg,,,,,,,,,,false,,,[],2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
